hon_stake = 0.95
f         = 0.05
delta     = 5
w         = 25000
Probability of honest success: 0.0475604
Effective rate of honest advancement: 0.0399586
Adversarial stake ratio: 0.05
Adversarial success probability: 0.00256138
...equal to expected rate of adversarial advancement: 0.00256138
Evolution beginning...
(adv. stake: 0.05, f: 0.05, delta: 5, step: 750, density: 3.07459e-10)
(adv. stake: 0.05, f: 0.05, delta: 5, step: 760, density: 2.33988e-10)
(adv. stake: 0.05, f: 0.05, delta: 5, step: 770, density: 1.78089e-10)
(adv. stake: 0.05, f: 0.05, delta: 5, step: 780, density: 1.35556e-10)
(adv. stake: 0.05, f: 0.05, delta: 5, step: 790, density: 1.03189e-10)
(adv. stake: 0.05, f: 0.05, delta: 5, step: 800, density: 7.85564e-11)
(adv. stake: 0.05, f: 0.05, delta: 5, step: 810, density: 5.98086e-11)
(adv. stake: 0.05, f: 0.05, delta: 5, step: 820, density: 4.55385e-11)
(adv. stake: 0.05, f: 0.05, delta: 5, step: 830, density: 3.46757e-11)
(adv. stake: 0.05, f: 0.05, delta: 5, step: 840, density: 2.6406e-11)
(adv. stake: 0.05, f: 0.05, delta: 5, step: 850, density: 2.011e-11)
(adv. stake: 0.05, f: 0.05, delta: 5, step: 860, density: 1.53161e-11)
(adv. stake: 0.05, f: 0.05, delta: 5, step: 870, density: 1.16658e-11)
(adv. stake: 0.05, f: 0.05, delta: 5, step: 880, density: 8.88608e-12)
(adv. stake: 0.05, f: 0.05, delta: 5, step: 890, density: 6.76913e-12)
(adv. stake: 0.05, f: 0.05, delta: 5, step: 900, density: 5.15682e-12)
(adv. stake: 0.05, f: 0.05, delta: 5, step: 910, density: 3.92878e-12)
(adv. stake: 0.05, f: 0.05, delta: 5, step: 920, density: 2.99336e-12)
(adv. stake: 0.05, f: 0.05, delta: 5, step: 930, density: 2.28079e-12)
(adv. stake: 0.05, f: 0.05, delta: 5, step: 940, density: 1.73795e-12)
(adv. stake: 0.05, f: 0.05, delta: 5, step: 950, density: 1.32438e-12)
(adv. stake: 0.05, f: 0.05, delta: 5, step: 960, density: 1.00928e-12)
(adv. stake: 0.05, f: 0.05, delta: 5, step: 970, density: 7.69193e-13)
(adv. stake: 0.05, f: 0.05, delta: 5, step: 980, density: 5.86247e-13)
(adv. stake: 0.05, f: 0.05, delta: 5, step: 990, density: 4.46836e-13)
(adv. stake: 0.05, f: 0.05, delta: 5, step: 1000, density: 3.40595e-13)
(adv. stake: 0.05, f: 0.05, delta: 5, step: 1010, density: 2.59626e-13)
(adv. stake: 0.05, f: 0.05, delta: 5, step: 1020, density: 1.97916e-13)
(adv. stake: 0.05, f: 0.05, delta: 5, step: 1030, density: 1.50881e-13)
(adv. stake: 0.05, f: 0.05, delta: 5, step: 1040, density: 1.15029e-13)
(adv. stake: 0.05, f: 0.05, delta: 5, step: 1050, density: 8.76997e-14)
(adv. stake: 0.05, f: 0.05, delta: 5, step: 1060, density: 6.68667e-14)
(adv. stake: 0.05, f: 0.05, delta: 5, step: 1070, density: 5.09848e-14)
(adv. stake: 0.05, f: 0.05, delta: 5, step: 1080, density: 3.88768e-14)
(adv. stake: 0.05, f: 0.05, delta: 5, step: 1090, density: 2.96455e-14)
(adv. stake: 0.05, f: 0.05, delta: 5, step: 1100, density: 2.26071e-14)
(adv. stake: 0.05, f: 0.05, delta: 5, step: 1110, density: 1.72404e-14)
(adv. stake: 0.05, f: 0.05, delta: 5, step: 1120, density: 1.31483e-14)
(adv. stake: 0.05, f: 0.05, delta: 5, step: 1130, density: 1.00278e-14)
(adv. stake: 0.05, f: 0.05, delta: 5, step: 1140, density: 7.64826e-15)
(adv. stake: 0.05, f: 0.05, delta: 5, step: 1150, density: 5.83356e-15)
(adv. stake: 0.05, f: 0.05, delta: 5, step: 1160, density: 4.44961e-15)
(adv. stake: 0.05, f: 0.05, delta: 5, step: 1170, density: 3.3941e-15)
(adv. stake: 0.05, f: 0.05, delta: 5, step: 1180, density: 2.58907e-15)
(adv. stake: 0.05, f: 0.05, delta: 5, step: 1190, density: 1.97505e-15)
(adv. stake: 0.05, f: 0.05, delta: 5, step: 1200, density: 1.50671e-15)
(adv. stake: 0.05, f: 0.05, delta: 5, step: 1210, density: 1.14946e-15)
(adv. stake: 0.05, f: 0.05, delta: 5, step: 1220, density: 8.76946e-16)
(adv. stake: 0.05, f: 0.05, delta: 5, step: 1230, density: 6.69062e-16)
(adv. stake: 0.05, f: 0.05, delta: 5, step: 1240, density: 5.10475e-16)
(adv. stake: 0.05, f: 0.05, delta: 5, step: 1250, density: 3.8949e-16)
(adv. stake: 0.05, f: 0.05, delta: 5, step: 1260, density: 2.97188e-16)
(adv. stake: 0.05, f: 0.05, delta: 5, step: 1270, density: 2.26767e-16)
(adv. stake: 0.05, f: 0.05, delta: 5, step: 1280, density: 1.73039e-16)
(adv. stake: 0.05, f: 0.05, delta: 5, step: 1290, density: 1.32044e-16)
(adv. stake: 0.05, f: 0.05, delta: 5, step: 1300, density: 1.00764e-16)
(adv. stake: 0.05, f: 0.05, delta: 5, step: 1310, density: 7.68967e-17)
(adv. stake: 0.05, f: 0.05, delta: 5, step: 1320, density: 5.86842e-17)
(adv. stake: 0.05, f: 0.05, delta: 5, step: 1330, density: 4.47865e-17)
(adv. stake: 0.05, f: 0.05, delta: 5, step: 1340, density: 3.4181e-17)
(adv. stake: 0.05, f: 0.05, delta: 5, step: 1350, density: 2.60877e-17)
(adv. stake: 0.05, f: 0.05, delta: 5, step: 1360, density: 1.99112e-17)
(adv. stake: 0.05, f: 0.05, delta: 5, step: 1370, density: 1.51974e-17)
(adv. stake: 0.05, f: 0.05, delta: 5, step: 1380, density: 1.15999e-17)
(adv. stake: 0.05, f: 0.05, delta: 5, step: 1390, density: 8.85424e-18)
(adv. stake: 0.05, f: 0.05, delta: 5, step: 1400, density: 6.75862e-18)
(adv. stake: 0.05, f: 0.05, delta: 5, step: 1410, density: 5.15913e-18)
(adv. stake: 0.05, f: 0.05, delta: 5, step: 1420, density: 3.93827e-18)
(adv. stake: 0.05, f: 0.05, delta: 5, step: 1430, density: 3.00639e-18)
(adv. stake: 0.05, f: 0.05, delta: 5, step: 1440, density: 2.29506e-18)
(adv. stake: 0.05, f: 0.05, delta: 5, step: 1450, density: 1.75208e-18)
(adv. stake: 0.05, f: 0.05, delta: 5, step: 1460, density: 1.3376e-18)
(adv. stake: 0.05, f: 0.05, delta: 5, step: 1470, density: 1.02119e-18)
(adv. stake: 0.05, f: 0.05, delta: 5, step: 1480, density: 7.79645e-19)
(adv. stake: 0.05, f: 0.05, delta: 5, step: 1490, density: 5.95247e-19)
(adv. stake: 0.05, f: 0.05, delta: 5, step: 1500, density: 4.54472e-19)
(adv. stake: 0.05, f: 0.05, delta: 5, step: 1510, density: 3.46998e-19)
(adv. stake: 0.05, f: 0.05, delta: 5, step: 1520, density: 2.64945e-19)
(adv. stake: 0.05, f: 0.05, delta: 5, step: 1530, density: 2.02299e-19)
(adv. stake: 0.05, f: 0.05, delta: 5, step: 1540, density: 1.54469e-19)
(adv. stake: 0.05, f: 0.05, delta: 5, step: 1550, density: 1.1795e-19)
(adv. stake: 0.05, f: 0.05, delta: 5, step: 1560, density: 9.00667e-20)
(adv. stake: 0.05, f: 0.05, delta: 5, step: 1570, density: 6.87763e-20)
(adv. stake: 0.05, f: 0.05, delta: 5, step: 1580, density: 5.25197e-20)
(adv. stake: 0.05, f: 0.05, delta: 5, step: 1590, density: 4.01064e-20)
(adv. stake: 0.05, f: 0.05, delta: 5, step: 1600, density: 3.06277e-20)
(adv. stake: 0.05, f: 0.05, delta: 5, step: 1610, density: 2.33896e-20)
(adv. stake: 0.05, f: 0.05, delta: 5, step: 1620, density: 1.78624e-20)
